id,code,name,user_type_id/id,chart_template_id/id,reconcile,tag_ids/id
lb_coa_651264,651264,Depreciation - Furniture,account.data_account_type_depreciation,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_655000,655000,Provisions Allocations For Charges,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_673620,673620,Bank charges,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_673630,673630,Bank interests - expense,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_675000,675000,Realized exchange difference - loss,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_675010,675010,Unrealized exchange difference - loss,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_675100,675100,Negative rounding,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_681100,681100,Net Book Value of Disposed Intangible Assets,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_681200,681200,Net Book Value of Disposed Tangible Assets,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_685110,685110,Gifts & Donations,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_685130,685130,Social Security penalties,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_690000,690000,Taxes on Profits,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_701000,701000,Sales of Goods,account.data_account_type_revenue,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_709000,709000,Discount on Sales of Goods,account.data_account_type_revenue,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_713010,713000,Sales of Services,account.data_account_type_revenue,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_719000,719000,Discount on Sales of Services,account.data_account_type_revenue,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_755210,755210,Reversal of Prov. Deferred Charges,account.data_account_type_revenue,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_771000,771000,Revenues of Equity Participations,account.data_account_type_revenue,l10n_lb.l10n_lb_chart_template,No,account.account_tag_investing
lb_coa_773000,773000,Bank interests - income,account.data_account_type_revenue,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_775000,775000,Realized exchange difference - gain,account.data_account_type_revenue,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_775010,775010,Unrealized exchange difference - gain,account.data_account_type_revenue,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_775100,775100,Positive rounding,account.data_account_type_revenue,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_781100,781100,Income from Disposal of Intangible Assets,account.data_account_type_revenue,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_781200,781200,Income from Disposal of Tangible Assets,account.data_account_type_revenue,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
